t-SNE Dimension 1,t-SNE Dimension 2
-29.79987,67.8196
-19.273756,79.26633
-13.603962,92.84139
-15.030568,86.61962
-17.02062,92.96268
-14.84355,87.63482
-19.335085,96.184975
-17.604347,83.7765
-18.586761,79.19471
-2.039307,76.98998
-25.256031,88.30777
-18.305977,84.597244
-20.256773,96.71855
-24.974438,55.750893
-27.47491,67.38823
0.45497772,78.196915
-26.500828,98.5788
-30.223871,68.08205
-12.057877,76.35368
-26.279085,96.60152
-23.861225,61.755993
-12.391186,77.7537
-2.4935832,76.009834
-12.745223,77.793015
-17.796007,78.26594
-14.283905,92.71271
-27.244469,89.06734
-25.259272,87.734
1.2200468,78.72554
-21.49122,63.544765
-19.43423,96.24105
-30.29195,67.902214
-12.167302,76.34179
-26.70126,89.560196
-18.754555,79.62696
-25.63675,65.91994
-27.144426,89.62782
-26.931158,96.87803
-22.247389,97.66927
-14.894096,91.476006
-14.624468,89.01344
-2.2113416,71.37913
-20.725626,64.27027
-25.43848,96.35313
-24.681305,88.43333
-31.21849,60.366177
-15.804317,66.73008
-12.203826,77.77461
-11.731545,74.3359
-19.360287,84.3058
-1.4624635,71.81698
-3.0510788,75.47064
-25.564447,65.83575
-1.3380315,78.03181
-27.34619,93.86737
-24.839828,97.683556
-2.7414422,76.72921
-26.880117,98.76256
-14.650271,66.04384
-27.23639,90.40754
-14.981853,87.08766
-19.59358,83.546585
-27.347683,90.86054
-11.508633,66.80857
-16.907055,92.979355
-32.8341,59.865288
-26.291048,66.55275
-19.529446,83.173645
-15.698931,92.27325
-26.08657,88.93048
-2.386965,71.27983
-15.373876,92.01755
-25.237028,96.47563
-14.912922,66.74784
-15.00354,93.681206
-27.066854,98.35168
-21.29911,97.25103
-13.071786,58.34689
-12.345834,67.29287
-12.588717,67.81699
-5.403009,53.07077
-14.511215,65.691
-0.41915393,77.61994
-12.083257,62.350338
-1.9806925,76.90004
-1.3746011,78.266335
-16.37638,85.19745
-23.52048,57.92021
-19.086239,79.872986
-18.263329,78.93268
-27.287846,94.07205
-17.169834,84.517075
-11.795194,75.0007
-15.463486,86.25655
-14.129421,92.233055
-24.48643,63.422836
-27.079998,94.65925
-21.67375,97.49104
-13.47671,57.594128
-11.707481,62.353554
-36.251137,-46.229534
-37.8707,-55.812176
-32.500305,-38.73111
-41.741776,-34.00119
-28.208815,-43.60523
-35.307877,-54.41183
-51.049057,-55.150658
-49.991333,-33.693375
-33.37111,-39.150314
-40.321983,-58.633953
-38.923767,-54.071804
-52.398396,-33.188274
-38.256454,-34.457893
-51.043377,-52.78441
-37.47538,-35.603428
-38.95697,-34.028736
-39.04609,-55.948013
-27.589014,-46.539623
-38.20903,-34.885487
-36.880604,-45.840595
-38.450535,-43.399666
-58.303932,-47.926537
-37.3156,-45.686275
-41.082966,-45.075905
-53.418537,-33.865395
-41.36439,-54.561333
-51.026062,-54.44526
-39.579258,-55.62448
-33.89262,-39.4675
-49.040188,-59.55817
-30.266201,-38.068794
-32.33323,-51.51289
-44.958958,-33.77863
-28.400887,-43.12724
-31.797796,-50.907627
-51.095272,-55.85868
-42.077007,-33.981487
-48.785316,-59.653225
-57.184143,-51.823536
-41.6423,-53.85339
-53.8489,-34.65831
-28.24102,-46.8641
-33.790977,-39.272842
-49.384247,-60.489548
-39.37861,-56.909416
-53.532356,-32.18562
-35.621407,-47.109562
-45.657784,-60.39795
-35.40043,-54.216953
-27.647491,-45.629585
-55.625378,-51.172974
-42.244633,-46.98321
-44.825367,-33.77719
-27.21754,-46.287907
-49.40473,-59.898582
-51.037605,-54.220543
-47.174137,-58.401478
-45.637993,-60.013992
-28.309105,-47.26403
-26.773123,-46.921646
-42.277214,-46.949192
-37.611103,-46.14831
-38.298286,-35.210552
-29.880426,-39.49468
-39.847607,-44.680267
-45.78064,-59.874016
-40.477814,-44.975338
-38.974262,-54.13348
-29.187376,-41.62096
-50.71615,-33.813423
